# ACTS Test Suite Generation: Mon Feb 23 00:13:16 EST 2026
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 13
# Maximum number of values per parameter: 6
# Number of configurations: 77
file_existence,file_content,lexer,formatter,output,input_source,file_name_format,file_size,input_encoding,style_option,filter,formatter_config,flags
na,empty,valid_match,omitted,file_path,file_path,no_ext,na,utf16_bom,omitted,valid_filter,omitted,list_formatters
exists,valid_syntax,valid_mismatch,invalid,restricted,file_path,na,typical,invalid,omitted,raise_on_error,omitted,list_styles
na,valid_syntax,invalid,html,stdout,file_path,na,massive,bom_utf8,custom_style,chained_filters,valid_config,highlight_info
exists,valid_syntax,omitted,terminal256,nonexistent_dir,file_path,standard_ext,long_line,ascii_only,valid_builtin,filter_with_options,invalid_key,guess_lexer
exists,valid_syntax,ambiguous,latex,stdout,file_path,na,na,no_declaration,invalid_style,omited,malformed_syntax,none
na,valid_syntax,omitted,omitted,restricted,file_path,na,buffer_boundary,utf8_standard,omitted,omited,omitted,list_formatters
exists,valid_syntax,valid_match,html,nonexistent_dir,file_path,special_chars,zero_byte,utf16_bom,omitted,filter_with_options,conflicting_options,list_styles
na,invalid_syntax,omitted,latex,file_path,file_path,special_chars,typical,bom_utf8,custom_style,valid_filter,conflicting_options,guess_lexer
na,invalid_syntax,valid_mismatch,omitted,nonexistent_dir,file_path,standard_ext,massive,ascii_only,omitted,raise_on_error,omitted,none
na,invalid_syntax,valid_match,invalid,stdout,file_path,na,long_line,no_declaration,valid_builtin,chained_filters,omitted,highlight_info
exists,invalid_syntax,invalid,terminal256,file_path,file_path,no_ext,na,utf8_standard,omitted,filter_with_options,valid_config,list_styles
na,invalid_syntax,ambiguous,html,stdout,file_path,na,buffer_boundary,invalid,invalid_style,valid_filter,invalid_key,highlight_info
exists,invalid_syntax,valid_mismatch,omitted,restricted,file_path,na,zero_byte,bom_utf8,omitted,chained_filters,omitted,list_formatters
exists,na,invalid,omitted,nonexistent_dir,file_path,special_chars,typical,ascii_only,omitted,omited,omitted,list_lexers
exists,na,omitted,invalid,restricted,file_path,na,massive,no_declaration,invalid_style,valid_filter,omitted,guess_lexer
na,na,valid_match,latex,restricted,file_path,na,long_line,utf8_standard,custom_style,raise_on_error,valid_config,none
missing,na,omitted,omitted,stdout,file_path,na,na,invalid,omitted,filter_with_options,omitted,list_lexers
na,na,invalid,omitted,file_path,file_path,standard_ext,buffer_boundary,utf16_bom,omitted,raise_on_error,omitted,list_lexers
na,na,invalid,omitted,nonexistent_dir,file_path,no_ext,zero_byte,invalid,omitted,chained_filters,omitted,list_formatters
na,binary_data,valid_match,terminal256,file_path,file_path,standard_ext,typical,invalid,valid_builtin,omited,malformed_syntax,none
exists,binary_data,ambiguous,latex,restricted,file_path,na,massive,invalid,omitted,chained_filters,conflicting_options,list_styles
exists,binary_data,omitted,html,nonexistent_dir,file_path,no_ext,long_line,invalid,custom_style,omited,valid_config,guess_lexer
exists,binary_data,valid_mismatch,terminal256,stdout,file_path,na,na,invalid,invalid_style,raise_on_error,conflicting_options,highlight_info
na,binary_data,omitted,invalid,nonexistent_dir,file_path,special_chars,buffer_boundary,invalid,custom_style,filter_with_options,omitted,guess_lexer
exists,binary_data,invalid,invalid,file_path,file_path,standard_ext,zero_byte,invalid,invalid_style,valid_filter,omitted,none
exists,unicode_mixed,ambiguous,omitted,stdout,file_path,na,typical,no_declaration,omitted,filter_with_options,omitted,list_formatters
na,unicode_mixed,valid_mismatch,html,stdout,file_path,na,massive,utf8_standard,valid_builtin,omited,malformed_syntax,highlight_info
