# ACTS Test Suite Generation: Thu Feb 19 22:44:28 EST 2026
#  '*' represents don't care value 
# Degree of interaction coverage: 3
# Number of parameters: 11
# Maximum number of values per parameter: 4
# Number of configurations: 110
file_existence,file_content,lexer,formatter,output,input_encoding,filters,input,file_name_format,file_size_shape,style_option
exists,empty,omitted,omitted,stdout,utf8_standard_text,ommited,file_path,standard_extension,na,valid_builtin
na,empty,omitted,valid,file_path,utf16_byte_order_mark,valid_filter,file_path,no_extension,na,invalid
exists,empty,omitted,invalid,restricted,invalid_bytes,raise_on_error,file_path,special_chars,na,invalid
na,empty,omitted,omitted,restricted,utf8_standard_text,valid_filter,stdin,na,na,valid_builtin
na,empty,valid_match,invalid,stdout,utf16_byte_order_mark,raise_on_error,file_path,standard_extension,na,valid_builtin
exists,empty,valid_match,valid,restricted,utf8_standard_text,ommited,file_path,no_extension,na,invalid
na,empty,valid_match,omitted,file_path,invalid_bytes,ommited,file_path,special_chars,na,valid_builtin
na,empty,valid_match,valid,stdout,invalid_bytes,valid_filter,stdin,na,na,invalid
exists,empty,valid_mismatch,valid,file_path,invalid_bytes,raise_on_error,file_path,standard_extension,na,valid_builtin
na,empty,valid_mismatch,invalid,stdout,utf8_standard_text,ommited,file_path,no_extension,na,invalid
exists,empty,valid_mismatch,omitted,restricted,utf16_byte_order_mark,valid_filter,file_path,special_chars,na,invalid
na,empty,valid_mismatch,invalid,file_path,utf16_byte_order_mark,ommited,stdin,na,na,valid_builtin
exists,empty,invalid,invalid,restricted,utf8_standard_text,valid_filter,file_path,standard_extension,na,valid_builtin
na,empty,invalid,omitted,stdout,invalid_bytes,raise_on_error,file_path,no_extension,na,invalid
exists,empty,invalid,valid,stdout,utf16_byte_order_mark,ommited,file_path,special_chars,na,valid_builtin
na,empty,invalid,valid,file_path,utf8_standard_text,raise_on_error,stdin,na,na,invalid
na,valid_syntax,omitted,invalid,file_path,invalid_bytes,valid_filter,file_path,standard_extension,standard,invalid
exists,valid_syntax,omitted,omitted,file_path,utf16_byte_order_mark,raise_on_error,file_path,no_extension,massive_file,valid_builtin
na,valid_syntax,omitted,valid,restricted,utf8_standard_text,ommited,file_path,special_chars,long_line,valid_builtin
na,valid_syntax,omitted,omitted,stdout,utf16_byte_order_mark,raise_on_error,stdin,na,na,invalid
exists,valid_syntax,valid_match,valid,stdout,invalid_bytes,ommited,file_path,standard_extension,massive_file,invalid
na,valid_syntax,valid_match,omitted,restricted,utf16_byte_order_mark,valid_filter,file_path,no_extension,standard,valid_builtin
exists,valid_syntax,valid_match,invalid,file_path,utf8_standard_text,valid_filter,file_path,special_chars,long_line,invalid
na,valid_syntax,valid_match,invalid,restricted,invalid_bytes,raise_on_error,stdin,na,na,valid_builtin
na,valid_syntax,valid_mismatch,omitted,restricted,invalid_bytes,raise_on_error,file_path,standard_extension,long_line,invalid
exists,valid_syntax,valid_mismatch,valid,stdout,utf8_standard_text,valid_filter,file_path,no_extension,standard,valid_builtin
na,valid_syntax,valid_mismatch,invalid,stdout,utf16_byte_order_mark,valid_filter,file_path,special_chars,massive_file,valid_builtin
na,valid_syntax,valid_mismatch,valid,file_path,utf8_standard_text,ommited,stdin,na,na,invalid
exists,valid_syntax,invalid,omitted,file_path,utf16_byte_order_mark,ommited,file_path,standard_extension,standard,invalid
exists,valid_syntax,invalid,invalid,restricted,invalid_bytes,ommited,file_path,no_extension,long_line,valid_builtin
na,valid_syntax,invalid,omitted,restricted,utf8_standard_text,raise_on_error,file_path,special_chars,massive_file,invalid
na,valid_syntax,invalid,valid,restricted,utf16_byte_order_mark,valid_filter,stdin,na,na,valid_builtin
na,invalid_syntax,omitted,valid,restricted,utf16_byte_order_mark,ommited,file_path,standard_extension,massive_file,valid_builtin
exists,invalid_syntax,omitted,invalid,stdout,invalid_bytes,raise_on_error,file_path,no_extension,standard,valid_builtin
exists,invalid_syntax,omitted,omitted,stdout,utf16_byte_order_mark,valid_filter,file_path,special_chars,long_line,invalid
na,invalid_syntax,omitted,invalid,file_path,utf8_standard_text,raise_on_error,stdin,na,na,invalid
exists,invalid_syntax,valid_match,omitted,file_path,utf8_standard_text,raise_on_error,file_path,standard_extension,standard,valid_builtin
na,invalid_syntax,valid_match,invalid,file_path,invalid_bytes,valid_filter,file_path,no_extension,massive_file,invalid
na,invalid_syntax,valid_match,valid,stdout,utf8_standard_text,ommited,file_path,special_chars,standard,invalid
na,invalid_syntax,valid_match,omitted,restricted,invalid_bytes,ommited,stdin,na,na,invalid
exists,invalid_syntax,valid_mismatch,invalid,stdout,utf16_byte_order_mark,ommited,file_path,standard_extension,long_line,valid_builtin
exists,invalid_syntax,valid_mismatch,valid,restricted,utf8_standard_text,raise_on_error,file_path,no_extension,massive_file,valid_builtin
na,invalid_syntax,valid_mismatch,omitted,file_path,invalid_bytes,valid_filter,file_path,special_chars,standard,valid_builtin
na,invalid_syntax,valid_mismatch,valid,stdout,utf16_byte_order_mark,raise_on_error,stdin,na,na,valid_builtin
na,invalid_syntax,invalid,valid,file_path,invalid_bytes,valid_filter,file_path,standard_extension,long_line,invalid
exists,invalid_syntax,invalid,invalid,stdout,utf16_byte_order_mark,ommited,file_path,no_extension,massive_file,invalid
exists,invalid_syntax,invalid,invalid,restricted,utf8_standard_text,raise_on_error,file_path,special_chars,standard,valid_builtin
na,invalid_syntax,invalid,omitted,file_path,invalid_bytes,valid_filter,stdin,na,na,valid_builtin
na,na,omitted,invalid,stdout,utf8_standard_text,raise_on_error,file_path,standard_extension,long_line,invalid
na,na,omitted,omitted,restricted,invalid_bytes,ommited,file_path,no_extension,massive_file,valid_builtin
na,na,omitted,valid,file_path,utf16_byte_order_mark,raise_on_error,file_path,special_chars,standard,invalid
na,na,omitted,valid,stdout,invalid_bytes,valid_filter,stdin,na,na,valid_builtin
na,na,valid_match,omitted,file_path,utf16_byte_order_mark,ommited,file_path,standard_extension,long_line,valid_builtin
